干
己
寸
亡
尺
収
仁
片
穴
冊
処
庁
幼
宇
灰
危
机
吸
后
至
舌
存
宅
我
系
孝
困
私
否
批
忘
乱
卵
延
沿
拡
供
券
呼
刻
若
宗
承
垂
担
宙
忠
届
乳
拝
並
宝
枚
胃
映
革
巻
看
皇
紅
砂
姿
宣
専
泉
洗
染
奏
退
段
派
背
肺
律
恩
株
胸
降
骨
座
蚕
射
従
純
除
将
針
値
展
討
党
納
俳
班
秘
俵
陛
朗
異
域
郷
済
視
捨
推
盛
窓
探
著
頂
脳
閉
訪
密
訳
郵
欲
翌
割
揮
貴
勤
筋
敬
裁
策
詞
就
衆
善
創
装
尊
痛
晩
補
棒
絹
源
署
傷
蒸
聖
誠
暖
腸
賃
腹
幕
盟
預
裏
閣
疑
誤
穀
誌
磁
障
銭
層
認
暮
模
遺
劇
権
熟
諸
蔵
誕
潮
敵
論
激
憲
鋼
樹
縦
操
糖
奮
厳
縮
優
覧
簡
難
臨
警
臓
