185,首,9,head,くび
186,香,9,fragrant,においこう
187,馬,10,horse,うま
188,骨,10,bone,ほね
189,高髙,10,tall,たかい
190,髟,10,hair,かみがしら
191,鬥,10,fight,とうがまえ
192,鬯,10,sacrificial wine,ちょう
193,鬲,10,cauldron,かなえ
194,鬼,10,ghost,おに
195,魚,11,fish,うお
196,鳥,11,bird,とり
197,鹵,11,salt,ろ
198,鹿,11,deer,しか
199,麥,11,wheat,むぎ
200,麻,11,hemp,あさ
201,黃,12,yellow,きいろ
202,黍,12,millet,きび
203,黑,12,black,くろ
204,黹,12,embroidery,ふつ
205,黽,13,frog,べん
206,鼎,13,tripod,かなえ
207,鼓,13,drum,つづみ
208,鼠,13,rat,ねずみ
209,鼻,14,nose,はな
210,齊斉,14,even,せい
211,齒,15,tooth,は
212,龍,16,dragon,りゅう
213,龜,16,turtle,かめ
214,龠,17,flute,やく
