乙
又
了
及
巾
乞
丈
刃
凡
与
牙
介
刈
巨
凶
斤
幻
互
勾
孔
升
冗
双
丹
弔
爪
斗
屯
匂
匹
乏
厄
凹
瓦
且
甘
丘
玄
巧
甲
込
𠮟
囚
汁
召
尻
斥
仙
占
旦
奴
凸
丼
尼
氾
払
丙
矛
扱
芋
汚
汗
缶
企
伎
吉
朽
臼
叫
仰
刑
江
旨
芝
朱
舟
充
旬
巡
如
匠
尽
迅
壮
吐
弐
肌
伐
帆
汎
妃
伏
忙
朴
妄
吏
劣
亜
壱
戒
肝
含
忌
却
狂
吟
串
迎
呉
坑
抗
攻
更
克
沙
伺
寿
秀
床
抄
肖
伸
芯
辛
吹
杉
即
汰
妥
択
沢
但
沈
呈
廷
那
尿
妊
忍
把
伯
抜
伴
尾
肘
扶
芳
邦
坊
妨
没
妙
冶
妖
抑
沃
励
戻
呂
弄
宛
依
炎
押
旺
欧
殴
佳
苛
怪
拐
劾
岳
玩
奇
祈
宜
拒
拠
享
況
屈
茎
肩
弦
股
虎
拘
肯
昆
采
刹
刺
祉
肢
侍
邪
呪
叔
尚
昇
沼
炊
枢
姓
征
斉
析
拙
狙
阻
卓
拓
抽
坪
抵
邸
泥
迭
妬
到
突
杯
拍
泊
迫
彼
披
泌
苗
怖
附
侮
沸
併
奉
抱
泡
房
肪
奔
枕
抹
岬
免
茂
盲
弥
拉
炉
枠
哀
威
為
畏
咽
姻
疫
怨
卸
架
悔
皆
垣
柿
括
冠
軌
虐
糾
峡
挟
狭
契
孤
弧
枯
侯
恒
洪
荒
郊
拷
恨
砕
削
柵
咲
拶
施
狩
臭
柔
俊
盾
叙
浄
拭
侵
津
甚
帥
是
牲
窃
荘
促
俗
耐
怠
胎
胆
衷
挑
勅
珍
亭
貞
帝
訂
怒
逃
洞
峠
虹
卑
眉
訃
赴
封
柄
胞
某
冒
勃
盆
昧
幽
柳
侶
厘
郎
挨
唄
畝
浦
悦
宴
翁
俺
華
蚊
核
釜
陥
既
飢
鬼
恐
恭
脅
恵
桁
倹
兼
剣
拳
軒
娯
悟
貢
剛
唆
挫
宰
栽
剤
索
桟
恣
脂
疾
酌
殊
珠
袖
准
殉
徐
宵
症
祥
称
辱
唇
娠
振
浸
陣
粋
衰
凄
逝
脊
隻
扇
栓
租
捜
挿
桑
捉
泰
託
恥
致
畜
逐
秩
酎
捗
朕
逓
哲
途
倒
凍
唐
桃
透
胴
匿
悩
剝
畔
般
疲
被
姫
浜
敏
浮
紛
哺
捕
俸
倣
峰
砲
剖
紡
埋
眠
娘
冥
耗
紋
竜
倫
涙
烈
恋
浪
脇
尉
萎
逸
淫
陰
菓
崖
涯
殻
郭
掛
喝
渇
乾
勘
患
貫
亀
偽
菊
脚
虚
菌
惧
偶
掘
啓
掲
渓
蛍
舷
控
梗
頃
婚
痕
紺
彩
斎
惨
斬
執
赦
斜
蛇
釈
寂
羞
渋
淑
粛
庶
渉
紹
訟
剰
紳
酔
崇
据
惜
戚
旋
措
粗
掃
曹
曽
爽
唾
堆
袋
逮
脱
淡
窒
彫
眺
釣
陳
偵
添
悼
盗
陶
豚
貪
軟
捻
粘
婆
排
培
陪
舶
販
描
猫
瓶
符
偏
崩
堀
麻
猛
唯
悠
庸
粒
隆
涼
猟
陵
累
握
嵐
偉
椅
詠
越
援
奥
渦
葛
喚
堪
換
敢
棺
款
閑
幾
棋
欺
喫
距
御
暁
琴
遇
隅
圏
堅
雇
喉
慌
硬
絞
項
詐
酢
傘
紫
軸
湿
煮
循
掌
晶
焦
硝
粧
詔
畳
殖
診
尋
須
遂
随
婿
疎
訴
喪
痩
葬
堕
惰
替
棚
弾
遅
貼
超
椎
塚
堤
渡
塔
搭
棟
痘
筒
鈍
廃
媒
斑
蛮
扉
普
幅
雰
塀
遍
募
傍
帽
喩
愉
湧
猶
裕
雄
揚
揺
絡
痢
硫
塁
裂
廊
惑
湾
腕
彙
違
煙
猿
鉛
虞
嫁
暇
禍
靴
雅
塊
楷
慨
蓋
該
較
隔
滑
褐
勧
寛
頑
棄
毀
詰
嗅
僅
愚
窟
傾
携
継
詣
隙
傑
嫌
献
遣
誇
鼓
碁
溝
傲
債
催
塞
歳
載
搾
嗣
慈
嫉
腫
愁
酬
奨
詳
飾
触
寝
慎
腎
睡
裾
跡
摂
煎
羨
腺
詮
践
禅
塑
僧
賊
滞
滝
嘆
痴
稚
蓄
跳
艇
溺
塡
殿
塗
督
頓
漠
鉢
搬
煩
頒
微
蜂
飽
睦
滅
誉
溶
腰
裸
雷
酪
慄
虜
鈴
零
廉
賂
楼
賄
維
隠
寡
箇
概
駆
綱
酵
豪
酷
獄
魂
雌
漆
遮
需
銃
塾
緒
彰
誓
箋
漸
遡
遭
憎
遜
駄
奪
端
綻
嫡
徴
漬
摘
滴
稲
寧
髪
罰
閥
碑
漂
腐
蔑
慕
貌
僕
墨
膜
慢
漫
蜜
銘
網
誘
瘍
踊
辣
僚
瑠
暦
漏
慰
影
鋭
謁
閲
縁
稼
餓
潰
歓
監
緩
畿
輝
儀
戯
窮
緊
勲
慶
憬
稽
撃
稿
駒
撮
暫
摯
賜
餌
趣
潤
遵
憧
衝
嘱
審
震
穂
請
潜
遷
槽
踪
諾
誰
鋳
駐
嘲
澄
墜
締
徹
撤
踏
罵
輩
賠
箸
範
盤
罷
膝
賓
敷
膚
賦
舞
噴
墳
憤
幣
弊
蔽
餅
舗
褒
撲
摩
魅
黙
憂
窯
履
璃
慮
寮
霊
緯
憶
穏
壊
懐
諧
骸
獲
憾
還
凝
錦
薫
憩
賢
錮
衡
墾
錯
諮
儒
獣
壌
嬢
錠
薪
醒
薦
膳
濁
壇
緻
諦
賭
篤
曇
濃
薄
縛
繁
避
壁
縫
膨
謀
頰
磨
麺
諭
融
擁
謡
頼
隣
隷
錬
曖
臆
嚇
轄
環
擬
犠
矯
謹
謙
鍵
購
懇
擦
爵
醜
償
礁
繊
鮮
燥
霜
戴
濯
鍛
聴
謄
瞳
謎
鍋
頻
闇
翼
療
瞭
齢
穫
顎
鎌
韓
騎
襟
繭
顕
鎖
瞬
繕
礎
騒
贈
懲
鎮
藤
闘
藩
覆
璧
癖
翻
癒
濫
藍
糧
韻
艶
繰
鶏
鯨
璽
蹴
髄
瀬
藻
覇
爆
譜
簿
霧
羅
離
麗
麓
響
懸
鐘
譲
醸
籍
騰
欄
艦
顧
鶴
魔
躍
露
驚
襲
籠
鑑
鬱
