久
士
支
比
仏
圧
永
可
刊
旧
句
史
示
犯
布
弁
因
仮
件
再
在
団
任
囲
応
快
技
均
告
災
志
似
序
条
状
判
防
余
易
往
価
河
居
効
妻
枝
舎
述
招
制
性
毒
版
肥
非
武
紀
逆
型
限
故
厚
査
政
祖
則
独
保
迷
益
桜
格
個
耕
航
財
殺
師
修
素
造
能
破
粉
脈
容
留
移
液
眼
基
寄
規
救
許
経
険
現
混
採
授
術
常
情
責
接
設
率
断
張
停
堂
得
貧
婦
務
略
営
過
喜
検
減
証
象
税
絶
測
属
貸
貯
提
程
統
費
備
評
復
報
貿
解
幹
義
禁
鉱
罪
資
飼
準
勢
損
墓
豊
夢
演
慣
境
構
際
雑
酸
精
製
総
像
増
態
適
銅
複
綿
領
歴
確
潔
賛
質
賞
導
編
暴
衛
興
築
燃
輸
講
謝
績
額
織
職
識
護
