刀
丸
弓
工
才
万
引
牛
元
戸
午
公
今
止
少
心
切
太
内
父
分
方
毛
友
外
兄
古
広
市
矢
台
冬
半
母
北
用
羽
回
会
交
光
考
行
合
寺
自
色
西
多
地
池
当
同
肉
米
毎
何
角
汽
近
形
言
谷
作
社
図
声
走
体
弟
売
麦
来
里
画
岩
京
国
姉
知
長
直
店
東
歩
妹
明
門
夜
科
海
活
計
後
思
室
首
秋
春
食
星
前
茶
昼
点
南
風
夏
家
記
帰
原
高
紙
時
弱
書
通
馬
魚
強
教
黄
黒
細
週
雪
船
組
鳥
野
理
雲
絵
間
場
晴
朝
答
道
買
番
園
遠
楽
新
数
電
話
歌
語
算
読
聞
鳴
線
親
頭
顔
曜
