一
二
三
四
五
六
七
八
九
十
日
月
人
山
川
子
上
下
力
口
入
小
夕
千
大
土
円
王
火
犬
水
中
天
文
木
右
玉
左
石
出
正
生
田
白
休
本
学
手
目
耳
立
女
男
気
糸
字
先
見
早
町
村
竹
虫
年
名
百
花
林
森
貝
車
赤
青
足
雨
金
校
空
音
草
